2022-09-22 20:03:00,447 server_msg:241, (), (), ()
2022-09-22 20:03:00,717 server_msg:242, (), (), ()
2022-09-22 20:03:00,934 server_msg:243, (), (), ()
2022-09-22 20:03:01,165 server_msg:244, (), (), ()
2022-09-22 20:03:01,371 server_msg:245, (), (), ()
2022-09-22 20:03:01,582 server_msg:246, (), (), ()
2022-09-22 20:03:01,781 server_msg:247, (), (), ()
2022-09-22 20:03:01,994 server_msg:248, (), (), ()
2022-09-22 20:03:02,206 server_msg:249, (), (), ()
2022-09-22 20:03:02,403 server_msg:250, (), (), ()
2022-09-22 20:03:02,598 server_msg:251, (), (), ()
2022-09-22 20:03:02,806 server_msg:252, (), (), ()
2022-09-22 20:03:03,021 server_msg:253, (), (), ()
2022-09-22 20:03:03,232 server_msg:254, (), (), ()
2022-09-22 20:03:03,447 server_msg:255, (), (), ()
2022-09-22 20:03:03,658 server_msg:256, (), (), ()
2022-09-22 20:03:03,860 server_msg:257, (), (), ()
2022-09-22 20:03:04,056 server_msg:258, (), (), ()
2022-09-22 20:03:04,252 server_msg:259, (), (), ()
2022-09-22 20:03:04,467 server_msg:260, (), (), ()
2022-09-22 20:03:04,670 server_msg:261, (), (), ()
2022-09-22 20:03:04,893 server_msg:262, (), (), ()
2022-09-22 20:03:05,109 server_msg:263, (), (), ()
2022-09-22 20:03:05,317 server_msg:264, (), (), ()
2022-09-22 20:03:05,547 server_msg:265, (), (), ()
2022-09-22 20:03:05,750 server_msg:266, (), (), ()
2022-09-22 20:03:05,947 server_msg:267, (), (), ()
2022-09-22 20:03:06,149 server_msg:268, (), (), ()
2022-09-22 20:03:06,346 server_msg:269, (), (), ()
2022-09-22 20:03:06,548 server_msg:270, (), (), ()
2022-09-22 20:03:06,757 server_msg:271, (), (), ()
2022-09-22 20:03:06,970 server_msg:272, [0], [0.5971214], [[ 71 226  20  34]]
2022-09-22 20:03:07,183 server_msg:273, [0], [0.7112529], [[ 73 226  20  34]]
2022-09-22 20:03:07,395 server_msg:274, [0], [0.7348464], [[ 79 224  20  39]]
2022-09-22 20:03:07,603 server_msg:275, [0 0], [0.81108403 0.52167577], [[ 79 220  20  46]
 [ 85 243   1   1]]
2022-09-22 20:03:07,805 server_msg:276, [0 0], [0.79681003 0.5512465 ], [[ 74 218  22  50]
 [ 85 244   1   1]]
2022-09-22 20:03:08,024 server_msg:277, [0 0], [0.89313895 0.8383711 ], [[ 74 217  24  56]
 [ 86 246   1   1]]
2022-09-22 20:03:08,225 server_msg:278, [0 0], [0.87723726 0.85548925], [[ 74 215  24  62]
 [ 86 246   1   1]]
2022-09-22 20:03:08,440 server_msg:279, [0 0], [0.89539003 0.88842094], [[ 87 247   1   1]
 [ 72 218  25  57]]
2022-09-22 20:03:08,635 server_msg:280, [0 0], [0.9130054 0.8980367], [[ 87 248   1   1]
 [ 72 215  26  64]]
2022-09-22 20:03:08,839 server_msg:281, [0 0], [0.9254134 0.916408 ], [[ 88 248   1   1]
 [ 72 213  27  70]]
2022-09-22 20:03:09,069 server_msg:282, [0 0], [0.9307189 0.9270572], [[ 88 248   1   1]
 [ 73 213  26  71]]
2022-09-22 20:03:09,306 server_msg:283, [0 0], [0.9491573 0.9401357], [[ 70 210  30  79]
 [ 88 248   1   1]]
2022-09-22 20:03:09,534 server_msg:284, [0 0], [0.95833343 0.9478818 ], [[ 71 207  30  82]
 [ 88 248   1   1]]
2022-09-22 20:03:09,731 server_msg:285, [0 0], [0.96617126 0.9492298 ], [[ 72 205  31  88]
 [ 89 249   1   1]]
2022-09-22 20:03:09,951 server_msg:286, [0 0], [0.9731338 0.9488092], [[ 71 201  32  97]
 [ 89 249   1   1]]
2022-09-22 20:03:10,173 server_msg:287, [0 0], [0.97736883 0.9483613 ], [[ 71 193  34 112]
 [ 90 249   1   1]]
2022-09-22 20:03:10,382 server_msg:288, [0 0], [0.9609154  0.91545427], [[ 71 195  35 109]
 [ 89 249   1   1]]
2022-09-22 20:03:10,589 server_msg:289, [0 0], [0.97268414 0.9248207 ], [[ 72 193  35 115]
 [ 89 250   1   1]]
2022-09-22 20:03:10,802 server_msg:290, [0 0], [0.9812759 0.9510252], [[ 73 193  34 110]
 [ 89 249   1   1]]
2022-09-22 20:03:11,013 server_msg:291, [0 0], [0.9850262  0.94973224], [[ 72 190  37 121]
 [ 88 249   1   1]]
2022-09-22 20:03:11,227 server_msg:292, [0 0], [0.9885674 0.9535362], [[ 70 188  40 124]
 [ 88 250   1   1]]
2022-09-22 20:03:11,441 server_msg:293, [0 0], [0.9863479 0.9577433], [[ 70 189  40 123]
 [ 89 250   1   1]]
2022-09-22 20:03:11,646 server_msg:294, [0 0], [0.9853114  0.94682246], [[ 71 188  40 124]
 [ 89 250   1   1]]
2022-09-22 20:03:11,838 server_msg:295, [0 0], [0.9877924  0.93142784], [[ 69 184  44 133]
 [ 90 250   1   1]]
2022-09-22 20:03:12,037 server_msg:296, [0 0], [0.9906286 0.9540757], [[ 68 184  46 134]
 [ 90 250   1   1]]
2022-09-22 20:03:12,257 server_msg:297, [0 0], [0.98786813 0.960471  ], [[ 68 178  45 143]
 [ 90 249   1   1]]
2022-09-22 20:03:12,507 server_msg:298, [0 0], [0.9883556  0.95292777], [[ 68 176  49 149]
 [ 90 250   1   1]]
2022-09-22 20:03:12,729 server_msg:299, [0 0], [0.98888195 0.943185  ], [[ 67 177  51 146]
 [ 91 250   1   1]]
2022-09-22 20:03:12,989 server_msg:300, [0 0], [0.990134  0.9284358], [[ 65 174  54 154]
 [ 91 251   1   1]]
2022-09-22 20:03:13,202 server_msg:301, [0 0], [0.99236983 0.922986  ], [[ 65 174  54 153]
 [ 92 250   1   1]]
